hole_id,elevation,qc,fs,u2
CPT-01,50.0,1.928,14.94,0.0
CPT-01,49.98,1.9135,23.66,0.0
CPT-01,49.96,2.1662,19.97,0.0
CPT-01,49.94,1.8663,13.41,0.0
CPT-01,49.92,2.3283,26.77,0.0
CPT-01,49.9,2.0553,14.81,0.0
CPT-01,49.88,2.0208,26.39,0.0
CPT-01,49.86,1.9468,16.36,0.0
CPT-01,49.84,2.4367,14.44,0.0
CPT-01,49.82,1.8797,25.33,0.0
CPT-01,49.8,2.2841,23.67,0.0
CPT-01,49.78,1.2427,10.92,0.0
CPT-01,49.76,2.3321,31.76,0.0
CPT-01,49.74,1.3905,16.75,0.0
CPT-01,49.72,2.0572,11.93,0.0
CPT-01,49.7,2.4093,14.48,0.0
CPT-01,49.68,1.6865,14.68,0.0
CPT-01,49.66,1.6413,12.59,0.0
CPT-01,49.64,1.5904,10.67,0.0
CPT-01,49.62,1.4506,9.62,0.0
CPT-01,49.6,2.7132,28.68,0.0
CPT-01,49.58,1.953,26.23,0.0
CPT-01,49.56,2.0168,16.45,0.0
CPT-01,49.54,2.1266,15.12,0.0
CPT-01,49.52,2.31,26.69,0.0
CPT-01,49.5,1.6953,23.98,0.0
CPT-01,49.48,1.9649,20.85,0.0
CPT-01,49.46,2.3747,25.76,0.0
CPT-01,49.44,1.7161,25.7,0.0
CPT-01,49.42,2.2079,13.05,0.0
CPT-01,49.4,2.5424,32.85,0.0
CPT-01,49.38,2.4467,13.79,0.0
CPT-01,49.36,2.6135,38.45,0.0
CPT-01,49.34,1.985,10.15,0.0
CPT-01,49.32,1.7419,13.36,0.0
CPT-01,49.3,1.4358,8.78,0.0
CPT-01,49.28,0.8121,11.17,0.0
CPT-01,49.26,2.3555,23.57,0.0
CPT-01,49.24,2.8624,22.85,0.0
CPT-01,49.22,1.4724,16.33,0.0
CPT-01,49.2,2.0489,26.2,0.0
CPT-01,49.18,1.3794,6.9,0.0
CPT-01,49.16,3.1417,43.32,0.0
CPT-01,49.14,2.1404,17.28,0.0
CPT-01,49.12,2.8729,16.83,0.0
CPT-01,49.1,1.1595,6.6,0.0
CPT-01,49.08,2.026,19.76,0.0
CPT-01,49.06,1.7392,13.31,0.0
CPT-01,49.04,1.6945,17.61,0.0
CPT-01,49.02,2.1602,15.15,0.0
CPT-01,49.0,2.7241,25.55,0.0
CPT-01,48.98,1.9779,12.28,0.0
CPT-01,48.96,1.6499,12.05,0.0
CPT-01,48.94,2.5667,14.66,0.0
CPT-01,48.92,2.1433,29.14,0.0
CPT-01,48.9,3.0764,22.7,0.0
CPT-01,48.88,2.0594,29.56,0.0
CPT-01,48.86,2.2597,21.98,0.0
CPT-01,48.84,2.1149,12.62,0.0
CPT-01,48.82,1.696,15.66,0.0
CPT-01,48.8,1.9019,28.23,0.0
CPT-01,48.78,1.2585,11.36,0.0
CPT-01,48.76,2.244,15.49,0.0
CPT-01,48.74,1.7112,15.78,0.0
CPT-01,48.72,2.0014,18.88,0.0
CPT-01,48.7,3.133,32.91,0.0
CPT-01,48.68,2.9508,43.35,0.0
CPT-01,48.66,1.9957,26.92,0.0
CPT-01,48.64,1.6547,14.91,0.0
CPT-01,48.62,2.0312,17.85,0.0
CPT-01,48.6,1.9165,18.3,0.0
CPT-01,48.58,2.8715,41.85,0.0
CPT-01,48.56,1.2524,8.2,0.0
CPT-01,48.54,1.7267,25.36,0.0
CPT-01,48.52,1.1989,6.68,0.0
CPT-01,48.5,1.7825,17.88,0.0
CPT-01,48.48,2.6991,15.66,0.18
CPT-01,48.46,3.0633,33.54,0.41
CPT-01,48.44,2.0235,28.13,0.56
CPT-01,48.42,2.2516,24.64,0.8
CPT-01,48.4,1.4215,14.54,1.07
CPT-01,48.38,2.3217,16.35,1.23
CPT-01,48.36,2.0356,23.85,1.32
CPT-01,48.34,2.5006,20.41,1.65
CPT-01,48.32,2.4971,37.42,1.94
CPT-01,48.3,2.2437,12.86,1.85
CPT-01,48.28,1.8891,26.09,2.32
CPT-01,48.26,3.1581,27.46,2.19
CPT-01,48.24,2.3916,26.59,2.8
CPT-01,48.22,1.3258,15.3,2.48
CPT-01,48.2,2.1726,25.28,3.2
CPT-01,48.18,1.6152,10.24,2.9
CPT-01,48.16,2.4965,19.28,3.41
CPT-01,48.14,2.3954,29.17,3.32
CPT-01,48.12,1.7397,17.2,4.03
CPT-01,48.1,1.7076,22.99,3.6
CPT-01,48.08,1.6431,8.27,4.34
CPT-01,48.06,2.1859,24.86,4.11
CPT-01,48.04,1.9651,18.23,4.07
CPT-01,48.02,1.3676,7.87,5.07
CPT-01,48.0,2.517,33.59,4.99
CPT-01,47.98,12.1482,78.73,4.72
CPT-01,47.96,11.9344,154.68,5.68
CPT-01,47.94,22.9975,321.72,5.18
CPT-01,47.92,15.0055,192.09,6.13
CPT-01,47.9,16.8631,152.84,6.03
CPT-01,47.88,20.2048,275.72,6.66
CPT-01,47.86,22.6126,296.4,6.76
CPT-01,47.84,21.4544,178.54,7.03
CPT-01,47.82,16.0134,208.53,7.16
CPT-01,47.8,16.1739,208.22,6.33
CPT-01,47.78,12.0754,165.7,7.57
CPT-01,47.76,16.2696,156.24,6.98
CPT-01,47.74,22.2568,288.3,7.05
CPT-01,47.72,17.5916,145.7,8.21
CPT-01,47.7,15.3882,225.73,7.5
CPT-01,47.68,12.4533,184.45,8.1
CPT-01,47.66,11.8625,170.73,7.61
CPT-01,47.64,17.4656,255.44,8.04
CPT-01,47.62,14.5361,88.44,8.52
CPT-01,47.6,14.5336,160.77,8.85
CPT-01,47.58,11.5609,102.34,9.16
CPT-01,47.56,14.8136,74.32,10.01
CPT-01,47.54,21.2804,220.99,9.83
CPT-01,47.52,14.6986,127.03,8.79
CPT-01,47.5,9.0462,105.32,9.48
CPT-01,47.48,11.965,145.94,9.61
CPT-01,47.46,22.1467,179.23,10.02
CPT-01,47.44,12.2612,76.91,10.23
CPT-01,47.42,16.9274,243.82,10.97
CPT-01,47.4,19.5309,156.43,10.89
CPT-01,47.38,11.8286,59.19,10.52
CPT-01,47.36,10.2343,118.18,11.11
CPT-01,47.34,17.2466,162.49,10.73
CPT-01,47.32,6.5159,84.45,10.81
CPT-01,47.3,16.4431,96.16,11.81
CPT-01,47.28,12.5749,165.79,12.57
CPT-01,47.26,12.3199,144.49,11.49
CPT-01,47.24,15.2795,113.81,12.3
CPT-01,47.22,15.8445,213.86,11.48
CPT-01,47.2,10.1566,70.53,13.25
CPT-01,47.18,17.8874,177.87,12.29
CPT-01,47.16,14.7652,184.71,13.86
CPT-01,47.14,14.6496,88.86,13.14
CPT-01,47.12,19.5219,198.72,12.32
CPT-01,47.1,23.9983,179.79,14.69
CPT-01,47.08,8.0751,94.28,15.29
CPT-01,47.06,16.9431,185.6,15.4
CPT-01,47.04,19.2761,235.03,14.34
CPT-01,47.02,11.5266,153.37,14.66
CPT-01,47.0,20.2706,197.57,14.01
CPT-01,46.98,11.0276,82.4,15.32
CPT-01,46.96,15.4816,174.44,14.43
CPT-01,46.94,10.1687,58.72,14.65
CPT-01,46.92,14.5224,151.06,14.38
CPT-01,46.9,18.4784,135.13,16.3
CPT-01,46.88,14.6059,132.56,16.03
CPT-01,46.86,13.5968,124.52,15.15
CPT-01,46.84,7.3936,80.15,16.92
CPT-01,46.82,19.1727,260.12,17.36
CPT-01,46.8,14.6822,125.06,17.52
CPT-01,46.78,15.297,207.04,18.4
CPT-01,46.76,9.204,96.29,17.42
CPT-01,46.74,18.2329,131.38,16.3
CPT-01,46.72,14.107,117.95,18.09
CPT-01,46.7,15.3809,139.09,16.48
CPT-01,46.68,12.9534,145.37,16.17
CPT-01,46.66,15.4253,137.91,18.28
CPT-01,46.64,20.6562,131.31,18.11
CPT-01,46.62,15.9726,87.89,18.0
CPT-01,46.6,15.849,199.89,18.19
CPT-01,46.58,18.456,231.07,20.09
CPT-01,46.56,14.9764,77.78,19.18
CPT-01,46.54,16.6535,249.79,18.65
CPT-01,46.52,10.9061,125.61,20.41
CPT-01,46.5,9.3545,135.6,18.44
